node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
59,2,0,-0.9934529446506146,-1,0.7662790208622268,1.0,-0.9629584903357854,0,0,0.0,0.0,0.0,10.5,0.5186546052105948,0.0,0.0,0.0,10.5,-0.9934529446506146,-1,2,1.0
60,2,0,-0.9565082238031326,-1,0.44122867889424167,0.698429790561783,-0.95631586384361,0,0,0.0,0.0,0.0,10.5,0.3790151980805792,0.0,0.0,0.0,10.5,-0.9565082238031326,-1,2,0.698429790561783
61,3,0,-0.9715152783351324,-1,0.33481368472752426,0.6186639706963643,-0.9591440991903354,0,0,0.0,0.0,0.0,10.5,0.37908458852482196,0.0,0.0,0.0,10.5,-0.9715152783351324,-1,3,0.6186639706963643
62,5,0,-0.9840753292011841,-1,0.7080026303049463,1.0,-0.9613660192236866,1,1,0.0,0.0,0.0,11.0,0.5616693672347711,0.0,0.0,0.0,11.0,-0.9840753292011841,-1,5,1.0
63,2,0,-0.9525720669847269,-1,0.43951718159467434,0.723546925951234,-0.955542903290146,0,0,0.0,0.0,0.0,10.5,0.40707218096734576,0.0,0.0,0.0,10.5,-0.9525720669847269,-1,2,0.723546925951234
64,1,0,0.9693529296947397,1,0.22107008666579997,0.5037189850707036,0.9585861608177987,0,0,0.0,0.0,0.0,10.5,0.2938274326556839,0.0,0.0,0.0,10.5,0.9693529296947397,1,1,0.5037189850707036
65,3,0,-0.9081602313814149,-1,0.29716494214977873,0.6011071511296361,-0.9460156107001869,0,0,0.0,0.0,0.0,9.0,0.4059364756765248,0.0,0.0,0.0,9.0,-0.9081602313814149,-1,3,0.6011071511296361
66,1,0,0.9682226973479423,1,0.5835502042137021,0.8541821715395098,0.9584735025040755,0,0,0.0,0.0,0.0,8.0,0.4530192516047025,0.0,0.0,0.0,8.0,0.9682226973479423,1,1,0.8541821715395098
67,3,0,0.16778726072442535,1,0.6697431645030345,0.9618458987018207,0.32352080272992695,0,0,0.0,0.0,0.0,10.5,0.5365779348668462,0.0,0.0,0.0,10.5,0.16778726072442535,1,3,0.9618458987018207
68,1,0,0.9624720905252443,1,0.3265606330932278,0.7133385305060617,0.95725783742059,1,1,0.0,0.0,0.0,10.5,0.33885440994278165,0.0,0.0,0.0,10.5,0.9624720905252443,1,1,0.7133385305060617
69,0,0,-0.9407558955904913,-1,0.7504373535596853,1.0,-0.95320500109908,1,1,0.0,0.0,0.0,9.5,0.4933220958903637,0.0,0.0,0.0,9.5,-0.9407558955904913,-1,0,1.0
70,3,0,0.18338283396743477,1,0.7105982720312987,0.9969025485062908,0.3511594421255043,1,1,0.0,0.0,0.0,6.5,0.503504873610945,0.0,0.0,0.0,6.5,0.18338283396743477,1,3,0.9969025485062908
71,0,0,0.9660600837040305,1,0.7090284524366486,0.9692506314807031,0.9579359531550691,0,0,0.0,0.0,0.0,11.0,0.43223234934596666,0.0,0.0,0.0,11.0,0.9660600837040305,1,0,0.9692506314807031
72,2,0,-0.9372691678374159,-1,0.33659668807952847,0.6213377118650951,-0.9523765609003538,0,0,0.0,0.0,0.0,11.0,0.36397833461477497,0.0,0.0,0.0,11.0,-0.9372691678374159,-1,2,0.6213377118650951
73,3,0,0.1958391297156582,1,0.23032159319003465,0.49952098627432506,0.37280613869800594,0,0,0.0,0.0,0.0,11.0,0.32137712718376904,0.0,0.0,0.0,11.0,0.1958391297156582,1,3,0.49952098627432506
74,3,0,0.15408291609807936,1,0.7204541236895503,1.0,0.2987675676968593,1,1,0.0,0.0,0.0,9.5,0.5331174536363196,0.0,0.0,0.0,9.5,0.15408291609807936,1,3,1.0
75,0,0,-0.9267360750295309,-1,0.38348013724314045,0.6131993449061658,-0.9504551202496885,0,0,0.0,0.0,0.0,7.0,0.3260732626628028,0.0,0.0,0.0,7.0,-0.9267360750295309,-1,0,0.6131993449061658
76,3,0,-0.9510021104908,-1,0.5713498287041157,0.9028098972224695,-0.9552308889479555,0,0,0.0,0.0,0.0,10.5,0.5365779348668462,0.0,0.0,0.0,10.5,-0.9510021104908,-1,3,0.9028098972224695
