node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
247,0,0,-0.6999891941308587,-1,0.29256987524808564,0.6593756966880857,-0.8654979532887167,1,1,0.0,0.0,0.0,11.0,0.27036963248488316,0.0,0.0,0.0,11.0,-0.6999891941308587,-1,0,0.6593756966880857
248,4,0,-0.7259970176436179,-1,0.7646457708588186,1.0,-0.8799991720252047,1,1,0.0,0.0,0.0,10.5,0.5504179383152993,0.0,0.0,0.0,10.5,-0.7259970176436179,-1,4,1.0
249,3,0,-0.724416259763319,-1,0.3004189997865076,0.6074558356265076,-0.878837311577383,0,0,0.0,0.0,0.0,11.0,0.38912150048817506,0.0,0.0,0.0,11.0,-0.724416259763319,-1,3,0.6074558356265076
250,2,0,0.8121620866697459,1,0.5759835306184891,0.9118411024584891,0.9165915101761813,1,1,0.0,0.0,0.0,8.0,0.4761937683287751,0.0,0.0,0.0,8.0,0.8121620866697459,1,2,0.9118411024584891
251,3,0,0.051703570047231376,1,0.3957430172984341,0.7568467971384341,0.10304013101250402,1,1,0.0,0.0,0.0,10.5,0.40498039591072105,0.0,0.0,0.0,10.5,0.051703570047231376,1,3,0.7568467971384341
252,1,0,0.7992926812039451,1,0.5849367955786113,0.9031771744586113,0.9103666639700259,0,0,0.0,0.0,0.0,10.5,0.48456858538473835,0.0,0.0,0.0,10.5,0.7992926812039451,1,1,0.9031771744586113
253,1,0,-0.6823186035955908,-1,0.44735515787844515,0.7773208692384452,-0.8554840330410751,0,0,0.0,0.0,0.0,10.5,0.43619274640825606,0.0,0.0,0.0,10.5,-0.6823186035955908,-1,1,0.7773208692384452
254,3,0,0.7733132807258059,1,0.655785831383837,0.894860098362423,0.9014371363442851,0,0,0.0,0.0,0.0,7.5,0.5157004087282987,0.0,0.0,0.0,7.5,0.7733132807258059,1,3,0.894860098362423
255,2,0,-0.7135126374086153,-1,0.33840747519671477,0.6205466316767148,-0.8742151697445003,0,0,0.0,0.0,0.0,9.5,0.36202466720343246,0.0,0.0,0.0,9.5,-0.7135126374086153,-1,2,0.6205466316767148
256,3,0,0.93979874971702,1,0.7434751117485561,0.9660850670491337,0.9527521455351791,0,0,0.0,0.0,0.0,8.5,0.5365779348668462,0.0,0.0,0.0,8.5,0.93979874971702,1,3,0.9660850670491337
257,3,0,-0.875456504107503,-1,0.5001257895880113,0.8478723803080114,-0.9375886831818397,1,1,0.0,0.0,0.0,9.5,0.4157461152773117,0.0,0.0,0.0,9.5,-0.875456504107503,-1,3,0.8478723803080114
258,1,0,0.8617914635109221,1,0.6536558886277117,1.0,0.9323564188433866,1,1,0.0,0.0,0.0,10.5,0.4705792194658352,0.0,0.0,0.0,10.5,0.8617914635109221,1,1,1.0
259,3,0,0.8564394314259489,1,0.7098381148407362,0.9802640164662185,0.9306977292303066,0,0,0.0,0.0,0.0,10.5,0.5302626532853376,0.0,0.0,0.0,10.5,0.8564394314259489,1,3,0.9802640164662185
260,3,0,-0.7936517493480383,-1,0.799297166572883,1.0,-0.910211006652204,0,0,0.0,0.0,0.0,11.0,0.5365779348668462,0.0,0.0,0.0,11.0,-0.7936517493480383,-1,3,1.0
261,1,0,0.9377786801979997,1,0.33436739935637494,0.6092455459163749,0.9522714009284411,0,0,0.0,0.0,0.0,9.0,0.3502591626332136,0.0,0.0,0.0,9.0,0.9377786801979997,1,1,0.6092455459163749
262,2,0,0.8242608109906798,1,0.372135448138073,0.584602023498073,0.9219781018489571,0,0,0.0,0.0,0.0,6.0,0.36600280517782807,0.0,0.0,0.0,6.0,0.8242608109906798,1,2,0.584602023498073
263,5,0,0.8040669585285818,1,0.350259852039133,0.607375878919133,0.9138521250365323,0,0,0.0,0.0,0.0,7.5,0.4465622977840654,0.0,0.0,0.0,7.5,0.8040669585285818,1,5,0.607375878919133
264,2,0,0.009807765459056839,1,0.3577227992958696,0.6486409637758696,0.019613015488836916,0,0,0.0,0.0,0.0,8.0,0.4007564679343337,0.0,0.0,0.0,8.0,0.009807765459056839,1,2,0.6486409637758696
265,1,0,-0.6862176164617875,-1,0.5494668449236265,0.9365483169236266,-0.8578478952734393,1,1,0.0,0.0,0.0,10.5,0.4339369403495421,0.0,0.0,0.0,10.5,-0.6862176164617875,-1,1,0.9365483169236266
266,0,0,-0.7127829171057292,-1,0.796113513887506,1.0,-0.8738247055167526,0,0,0.0,0.0,0.0,9.5,0.45016600268752216,0.0,0.0,0.0,9.5,-0.7127829171057292,-1,0,1.0
267,8,0,0.14820386116482004,1,0.7941668522556529,1.0,0.28802175673301156,1,1,0.0,0.0,0.0,7.5,0.5616693672347711,0.0,0.0,0.0,7.5,0.14820386116482004,1,8,1.0
268,3,0,0.8605009249019938,1,0.5160639388173847,0.9110691432973846,0.9318309214294322,1,1,0.0,0.0,0.0,11.0,0.484704271153699,0.0,0.0,0.0,11.0,0.8605009249019938,1,3,0.9110691432973846
269,0,0,0.011971399624099585,1,0.5834163261588043,0.9142479831188044,0.023938225166216475,1,1,0.0,0.0,0.0,5.5,0.4326350644594195,0.0,0.0,0.0,5.5,0.011971399624099585,1,0,0.9142479831188044
270,3,0,-0.782525354945292,-1,0.7159823262209637,1.0,-0.9059666147838629,1,1,0.0,0.0,0.0,10.5,0.5365779348668462,0.0,0.0,0.0,10.5,-0.782525354945292,-1,3,1.0
271,1,0,0.8135981168823114,1,0.7597600750721032,1.0,0.917667933488716,1,1,0.0,0.0,0.0,7.0,0.42178279222415366,0.0,0.0,0.0,7.0,0.8135981168823114,1,1,1.0
272,3,0,0.8202154624571601,1,0.32231637639772637,0.6207714163977264,0.9202999405639154,1,1,0.0,0.0,0.0,6.5,0.3313401995949465,0.0,0.0,0.0,6.5,0.8202154624571601,1,3,0.6207714163977264
273,3,0,0.7935088353900326,1,0.5171250373654718,0.8380095071254718,0.9080169477499866,0,0,0.0,0.0,0.0,10.5,0.5003446928098501,0.0,0.0,0.0,10.5,0.7935088353900326,1,3,0.8380095071254718
274,1,0,0.8161704710508013,1,0.6997022327969075,0.9557498755494023,0.9173354870943852,0,0,0.0,0.0,0.0,9.5,0.4662925057292443,0.0,0.0,0.0,9.5,0.8161704710508013,1,1,0.9557498755494023
275,0,0,-0.7188987488716789,-1,0.38192124598075505,0.6885067845407551,-0.8759368860722396,0,0,0.0,0.0,0.0,11.0,0.34233478828281605,0.0,0.0,0.0,11.0,-0.7188987488716789,-1,0,0.6885067845407551
276,1,0,-0.7914334730752457,-1,0.4638854254882801,0.82263619668828,-0.90974480035731,1,1,0.0,0.0,0.0,10.0,0.36648154435247,0.0,0.0,0.0,10.0,-0.7914334730752457,-1,1,0.82263619668828
277,4,0,-0.772890142341539,-1,0.7913726609072049,1.0,-0.9021966595862151,1,1,0.0,0.0,0.0,10.0,0.5504179383152993,0.0,0.0,0.0,10.0,-0.772890142341539,-1,4,1.0
278,2,0,-0.86968688789834,-1,0.7910280180325227,1.0,-0.9358910182435707,1,1,0.0,0.0,0.0,10.0,0.5504179383152993,0.0,0.0,0.0,10.0,-0.86968688789834,-1,2,1.0
279,5,0,0.14487035081295618,1,0.7436640864591091,1.0,0.28189613700427235,1,1,0.0,0.0,0.0,10.5,0.5504179383152993,0.0,0.0,0.0,10.5,0.14487035081295618,1,5,1.0
280,1,0,-0.6952390022679497,-1,0.6790690068968346,0.9674414041381009,-0.8631809964193407,0,0,0.0,0.0,0.0,10.5,0.4933220958903637,0.0,0.0,0.0,10.5,-0.6952390022679497,-1,1,0.9674414041381009
281,1,0,-0.7432057281012139,-1,0.36147830043368345,0.6544383618736834,-0.8895131930239271,0,0,0.0,0.0,0.0,9.0,0.38042799877071976,0.0,0.0,0.0,9.0,-0.7432057281012139,-1,1,0.6544383618736834
282,1,0,-1.0,-1,0.3925100444403125,0.7773378153203125,-0.9640275800758169,1,1,0.0,0.0,0.0,11.0,0.3639015099612913,0.0,0.0,0.0,11.0,-1.0,-1,1,0.7773378153203125
283,1,0,-0.820808139702825,-1,0.5283697047229249,0.793881722642925,-0.920419286102348,0,0,0.0,0.0,0.0,10.5,0.401109659422287,0.0,0.0,0.0,10.5,-0.820808139702825,-1,1,0.793881722642925
284,2,0,0.8382628347165514,1,0.5364664247372073,0.8429210346572072,0.924602017800744,0,0,0.0,0.0,0.0,11.0,0.4748558234107589,0.0,0.0,0.0,11.0,0.8382628347165514,1,2,0.8429210346572072
285,0,0,-0.7409602615798273,-1,0.5033016916142403,0.8605856852142404,-0.8871580133841152,1,1,0.0,0.0,0.0,11.0,0.3415759808774974,0.0,0.0,0.0,11.0,-0.7409602615798273,-1,0,0.8605856852142404
286,1,0,0.10845154101995734,1,0.5820021679497838,0.9536001250697839,0.2135643561358678,1,1,0.0,0.0,0.0,10.0,0.4312094092800182,0.0,0.0,0.0,10.0,0.10845154101995734,1,1,0.9536001250697839
287,1,0,-0.8451883650823149,-1,0.44499381357979334,0.7580325182197934,-0.9287374206073926,0,0,0.0,0.0,0.0,9.5,0.41652620362965626,0.0,0.0,0.0,9.5,-0.8451883650823149,-1,1,0.7580325182197934
288,1,0,0.8731877523837084,1,0.6495044943893198,0.9297026966335918,0.9359960372695598,0,0,0.0,0.0,0.0,9.5,0.4933220958903637,0.0,0.0,0.0,9.5,0.8731877523837084,1,1,0.9297026966335918
289,0,0,-0.7055037178448357,-1,0.4001299558870133,0.6673243648470133,-0.8686236609573005,0,0,0.0,0.0,0.0,11.0,0.3105838345118308,0.0,0.0,0.0,11.0,-0.7055037178448357,-1,0,0.6673243648470133
290,1,0,0.09528630935438655,1,0.39840619816781153,0.7573632132078115,0.18829858110301317,1,1,0.0,0.0,0.0,9.5,0.3602508664942032,0.0,0.0,0.0,9.5,0.09528630935438655,1,1,0.7573632132078115
291,5,0,0.9506091247826035,1,0.2763355771350968,0.5462705787350968,0.9548692346714954,0,0,0.0,0.0,0.0,10.5,0.36355935585906257,0.0,0.0,0.0,10.5,0.9506091247826035,1,5,0.5462705787350968
292,3,0,0.8807853700847147,1,0.3132273260173516,0.7290177234573516,0.9378381644900202,1,1,0.0,0.0,0.0,11.0,0.4040638947922628,0.0,0.0,0.0,11.0,0.8807853700847147,1,3,0.7290177234573516
293,5,0,-0.7091483068014381,-1,0.7103125273528146,0.9861875164116888,-0.8710413009100493,0,0,0.0,0.0,0.0,10.5,0.5616693672347711,0.0,0.0,0.0,10.5,-0.7091483068014381,-1,5,0.9861875164116888
294,2,0,-0.7508377877416015,-1,0.467769403148265,0.790019479308265,-0.8918666708606815,0,0,0.0,0.0,0.0,11.0,0.4617656225025415,0.0,0.0,0.0,11.0,-0.7508377877416015,-1,2,0.790019479308265
295,3,0,-0.7003859120532243,-1,0.3367206719317003,0.6684019519317004,-0.865725103158104,0,0,0.0,0.0,0.0,11.0,0.43173805322762804,0.0,0.0,0.0,11.0,-0.7003859120532243,-1,3,0.6684019519317004
296,3,0,0.16177071357435224,1,0.6556046600134325,1.0,0.31270557958741857,1,1,0.0,0.0,0.0,9.0,0.5186546052105948,0.0,0.0,0.0,9.0,0.16177071357435224,1,3,1.0
297,0,0,-0.6679582398535451,-1,0.5323886754901157,0.7885303458901157,-0.8470027809102953,0,0,0.0,0.0,0.0,10.0,0.3730713927485075,0.0,0.0,0.0,10.0,-0.6679582398535451,-1,0,0.7885303458901157
298,2,0,-0.7076962583058606,-1,0.2126936068539761,0.49817444397397614,-0.8698475603620579,0,0,0.0,0.0,0.0,11.0,0.31478675211069274,0.0,0.0,0.0,11.0,-0.7076962583058606,-1,2,0.49817444397397614
299,0,0,0.8687732665628768,1,0.38981687440202917,0.7239620929620292,0.934977448523776,1,1,0.0,0.0,0.0,8.5,0.31331294640621477,0.0,0.0,0.0,8.5,0.8687732665628768,1,0,0.7239620929620292
300,5,0,-0.6845914475192436,-1,0.30620084667280467,0.6967052025128047,-0.8564016110694092,1,1,0.0,0.0,0.0,11.0,0.3740232462887117,0.0,0.0,0.0,11.0,-0.6845914475192436,-1,5,0.6967052025128047
301,0,0,0.9473283297582588,1,0.5935237165897045,0.8179259028297045,0.954332172416847,0,0,0.0,0.0,0.0,8.5,0.3865476437485534,0.0,0.0,0.0,8.5,0.9473283297582588,1,0,0.8179259028297045
302,0,0,0.06527277143797912,1,0.36501862437815175,0.7600076086981518,0.12980897181500972,1,1,0.0,0.0,0.0,10.5,0.32398543804684576,0.0,0.0,0.0,10.5,0.06527277143797912,1,0,0.7600076086981518
303,1,0,0.8930115684795806,1,0.2389680675259662,0.5967372528059662,0.9412938616489349,1,1,0.0,0.0,0.0,10.5,0.29833416130236246,0.0,0.0,0.0,10.5,0.8930115684795806,1,1,0.5967372528059662
304,3,0,0.12506179794871936,1,0.23296099351860156,0.48209563671860156,0.24503484086513003,0,0,0.0,0.0,0.0,7.5,0.36285574600068676,0.0,0.0,0.0,7.5,0.12506179794871936,1,3,0.48209563671860156
305,0,0,0.832597040377985,1,0.549036378775229,0.9065520421352291,0.9226455858152445,1,1,0.0,0.0,0.0,11.0,0.36056469918125794,0.0,0.0,0.0,11.0,0.832597040377985,1,0,0.9065520421352291
306,0,0,-0.7595459203191558,-1,0.21303407342245378,0.5019902027024539,-0.8961261255892914,0,0,0.0,0.0,0.0,10.5,0.26187689628075833,0.0,0.0,0.0,10.5,-0.7595459203191558,-1,0,0.5019902027024539
307,2,0,-0.7633413589093845,-1,0.7092752678816534,1.0,-0.8986386140259847,1,1,0.0,0.0,0.0,9.0,0.5186546052105948,0.0,0.0,0.0,9.0,-0.7633413589093845,-1,2,1.0
308,4,0,0.18997817526765093,1,0.2932382715543654,0.6060862664343654,0.36266955989306265,0,0,0.0,0.0,0.0,11.0,0.4056456593865483,0.0,0.0,0.0,11.0,0.18997817526765093,1,4,0.6060862664343654
