node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
208,1,0,0.32590125084199434,1,0.6161242817520318,0.9696745690512191,0.572882148023371,1,1,0.0,0.0,0.0,6.5,0.5186546052105948,0.0,0.0,0.0,6.5,0.32590125084199434,1,1,0.9696745690512191
209,3,0,-0.709509023434528,-1,0.604850213828134,0.9699103200681339,-0.8712394457912606,1,1,0.0,0.0,0.0,10.5,0.47703478296170476,0.0,0.0,0.0,10.5,-0.709509023434528,-1,3,0.9699103200681339
210,0,0,0.16201667886109894,1,0.60955287333013,0.92997323557013,0.3131493385392663,1,1,0.0,0.0,0.0,8.5,0.4310357908433208,0.0,0.0,0.0,8.5,0.16201667886109894,1,0,0.92997323557013
211,3,0,-0.7883866622198381,-1,0.24444233164322382,0.5111133946832238,-0.9087648432657512,0,0,0.0,0.0,0.0,9.5,0.3244467788533796,0.0,0.0,0.0,9.5,-0.7883866622198381,-1,3,0.5111133946832238
212,3,0,0.4613126806646718,1,0.4681033054484916,0.7732533598484916,0.7271370370105955,0,0,0.0,0.0,0.0,10.0,0.4606651456826915,0.0,0.0,0.0,10.0,0.4613126806646718,1,3,0.7732533598484916
213,3,0,0.4131243630247522,1,0.4454210792274379,0.7176627227474378,0.6784566051874611,0,0,0.0,0.0,0.0,8.0,0.458450767789972,0.0,0.0,0.0,8.0,0.4131243630247522,1,3,0.7176627227474378
214,2,0,0.33582558252702766,1,0.2520268901859195,0.5046499225059194,0.5860649677692145,0,0,0.0,0.0,0.0,7.5,0.33740166322958787,0.0,0.0,0.0,7.5,0.33582558252702766,1,2,0.5046499225059194
215,1,0,-0.8334790266722899,-1,0.33342075673808647,0.7151366325780866,-0.9247156248645255,1,1,0.0,0.0,0.0,10.5,0.3365215017453651,0.0,0.0,0.0,10.5,-0.8334790266722899,-1,1,0.7151366325780866
216,2,0,0.3012840301468439,1,0.4645775790788221,0.822107240518822,0.5388744207904623,1,1,0.0,0.0,0.0,8.5,0.4284193001969522,0.0,0.0,0.0,8.5,0.3012840301468439,1,2,0.822107240518822
217,0,0,0.09398867416158088,1,0.6457437859148494,1.0,0.18579411127140905,1,1,0.0,0.0,0.0,10.0,0.423699805267037,0.0,0.0,0.0,10.0,0.09398867416158088,1,0,1.0
218,3,0,-0.8595812393515752,-1,0.342237246190798,0.6497577377107981,-0.9328741061543798,0,0,0.0,0.0,0.0,10.5,0.4076817680246334,0.0,0.0,0.0,10.5,-0.8595812393515752,-1,3,0.6497577377107981
219,4,0,-0.674920294123511,-1,0.697849946074947,1.0,-0.8525048351174433,1,1,0.0,0.0,0.0,9.0,0.5504179383152993,0.0,0.0,0.0,9.0,-0.674920294123511,-1,4,1.0
220,1,0,0.10031598539217403,1,0.5274789714436781,0.8329088645636781,0.19798259548305125,0,0,0.0,0.0,0.0,10.0,0.4445251901311166,0.0,0.0,0.0,10.0,0.10031598539217403,1,1,0.8329088645636781
221,1,0,0.1150129676067074,1,0.6562530111107705,0.9537518066664624,0.22605296234846672,0,0,0.0,0.0,0.0,10.0,0.4933220958903637,0.0,0.0,0.0,10.0,0.1150129676067074,1,1,0.9537518066664624
222,3,0,0.04306173422657711,1,0.4835335900021143,0.8440907996021143,0.08591116516270372,1,1,0.0,0.0,0.0,9.5,0.4007168740469981,0.0,0.0,0.0,9.5,0.04306173422657711,1,3,0.8440907996021143
223,1,0,0.0645813560080292,1,0.49951653525333406,0.868232608213334,0.12844919894785115,1,1,0.0,0.0,0.0,10.0,0.35168337948215406,0.0,0.0,0.0,10.0,0.0645813560080292,1,1,0.868232608213334
224,3,0,0.558223846022617,1,0.5718316336277842,0.9630989801766705,0.8063297590168685,1,1,0.0,0.0,0.0,8.0,0.5186546052105948,0.0,0.0,0.0,8.0,0.558223846022617,1,3,0.9630989801766705
225,1,0,0.4465859579606051,1,0.7567823648994947,1.0,0.7129568687953591,1,1,0.0,0.0,0.0,10.5,0.5186546052105948,0.0,0.0,0.0,10.5,0.4465859579606051,1,1,1.0
226,3,0,-1.0,-1,0.49508754884774603,0.8004273914077461,-0.9640275800758169,0,0,0.0,0.0,0.0,10.5,0.4729665055212983,0.0,0.0,0.0,10.5,-1.0,-1,3,0.8004273914077461
227,0,0,-0.6862741342640983,-1,0.5171945228649746,0.7804913420649746,-0.8578818964758448,0,0,0.0,0.0,0.0,10.5,0.35338015040160836,0.0,0.0,0.0,10.5,-0.6862741342640983,-1,0,0.7804913420649746
228,3,0,-0.6751596444729373,-1,0.5611981781165178,0.8259195451565179,-0.8510491759704522,0,0,0.0,0.0,0.0,10.5,0.4570998556067111,0.0,0.0,0.0,10.5,-0.6751596444729373,-1,3,0.8259195451565179
229,2,0,-0.8710390013872211,-1,0.6425090823786355,0.8957885011064028,-0.9363665112088745,0,0,0.0,0.0,0.0,9.5,0.4628005653663936,0.0,0.0,0.0,9.5,-0.8710390013872211,-1,2,0.8957885011064028
230,4,0,0.02765493408101312,1,0.2431102012917406,0.5096936918517406,0.05525353611755548,0,0,0.0,0.0,0.0,10.0,0.3361683611527317,0.0,0.0,0.0,10.0,0.02765493408101312,1,4,0.5096936918517406
231,1,0,0.38141758486319405,1,0.5094124631131833,0.7966490915931833,0.6427438995625048,0,0,0.0,0.0,0.0,10.0,0.4164883461426634,0.0,0.0,0.0,10.0,0.38141758486319405,1,1,0.7966490915931833
232,2,0,-0.8042470754338599,-1,0.48895495352362617,0.7934176581636262,-0.9144486294811557,0,0,0.0,0.0,0.0,10.5,0.4513677759348059,0.0,0.0,0.0,10.5,-0.8042470754338599,-1,2,0.7934176581636262
233,1,0,0.020473874605794487,1,0.7530109905425424,1.0,0.04092487860551104,0,0,0.0,0.0,0.0,10.5,0.4933220958903637,0.0,0.0,0.0,10.5,0.020473874605794487,1,1,1.0
234,7,0,-0.786198267620976,-1,0.4961039482618047,0.7256283668218048,-0.9088994161326258,0,0,0.0,0.0,0.0,7.5,0.4764442943762554,0.0,0.0,0.0,7.5,-0.786198267620976,-1,7,0.7256283668218048
235,1,0,-0.7617998679395184,-1,0.48099232081659865,0.9097774011365987,-0.897132856140816,1,1,0.0,0.0,0.0,10.5,0.47501385769669885,0.0,0.0,0.0,10.5,-0.7617998679395184,-1,1,0.9097774011365987
