node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
37,0,0,-0.9995585832939835,-1,0.5853514511407962,0.890657001693379,-0.9639581537325956,1,1,0.0,0.0,0.0,6.5,0.3840264933871005,0.0,0.0,0.0,6.5,-0.9995585832939835,-1,0,0.890657001693379
38,3,0,0.23949017547759893,1,0.6142411727093009,0.9285447036255806,0.4454266358940736,0,0,0.0,0.0,0.0,9.5,0.5365779348668462,0.0,0.0,0.0,9.5,0.23949017547759893,1,3,0.9285447036255806
39,1,0,0.644881260128186,1,0.7897923029215443,1.0,0.8590643292005657,1,1,0.0,0.0,0.0,10.0,0.4933220958903637,0.0,0.0,0.0,10.0,0.644881260128186,1,1,1.0
40,3,0,0.6797925501155077,1,0.4471060641805843,0.829090747335103,0.8762968026176904,1,1,0.0,0.0,0.0,8.0,0.470109578502261,0.0,0.0,0.0,8.0,0.6797925501155077,1,3,0.829090747335103
41,3,0,-0.9997411788317567,-1,0.44201264194947704,0.8517494425885157,-0.9639861122019766,1,1,0.0,0.0,0.0,9.5,0.43357623818286506,0.0,0.0,0.0,9.5,-0.9997411788317567,-1,3,0.8517494425885157
42,2,0,-0.9996923934899069,-1,0.7540081806354875,1.0,-0.9639782906454925,0,0,0.0,0.0,0.0,9.5,0.5186546052105948,0.0,0.0,0.0,9.5,-0.9996923934899069,-1,2,1.0
43,5,0,0.4933170952036694,1,0.3475253522030352,0.7111079641544347,0.7559234728352632,1,1,0.0,0.0,0.0,11.0,0.3960729323100599,0.0,0.0,0.0,11.0,0.4933170952036694,1,5,0.7111079641544347
44,4,0,-0.9997011053795358,-1,0.6378891477817201,1.0,-0.9639794392002766,1,1,0.0,0.0,0.0,10.5,0.5145078938549994,0.0,0.0,0.0,10.5,-0.9997011053795358,-1,4,1.0
45,1,0,-0.9997096435953724,-1,0.6527438829308809,0.93230486166194,-0.9639808152683637,0,0,0.0,0.0,0.0,10.5,0.4715931702835292,0.0,0.0,0.0,10.5,-0.9997096435953724,-1,1,0.93230486166194
46,6,0,-0.9995837046971847,-1,0.2586727984672659,0.5494710126010679,-0.9639606825188746,0,0,0.0,0.0,0.0,10.0,0.3871472788272236,0.0,0.0,0.0,10.0,-0.9995837046971847,-1,6,0.5494710126010679
47,2,0,0.2051748320673728,1,0.48093884341615045,0.7808711571558954,0.3887695358429582,1,1,0.0,0.0,0.0,7.5,0.37488229228699227,0.0,0.0,0.0,7.5,0.2051748320673728,1,2,0.7808711571558954
