node,F_t,L,o_t,s_t,Abar,A_t,m_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
206,6,0,0.9999091376914215,1,0.5741278217856476,0.906267370299944,0.9640129079178351,1,1,0.0,0.0,0.0,7.0,0.4936582495532702,0.0,0.0,0.0,7.0,0.9999091376914215,1,6,0.906267370299944
207,1,0,-0.9998173743053672,-1,0.28104787533051445,0.5652137221561598,-0.9639981018543025,0,0,0.0,0.0,0.0,11.0,0.3181946902570561,0.0,0.0,0.0,11.0,-0.9998173743053672,-1,1,0.5652137221561598
208,0,0,0.9999241862399092,1,0.6161242817520318,0.8855443966717068,0.9640149882561949,0,0,0.0,0.0,0.0,11.0,0.40165216984287005,0.0,0.0,0.0,11.0,0.9999241862399092,1,0,0.8855443966717068
209,0,0,-0.9995709045853022,-1,0.604850213828134,0.9920741796156325,-0.9639582807554807,1,1,0.0,0.0,0.0,11.0,0.4161102894831067,0.0,0.0,0.0,11.0,-0.9995709045853022,-1,0,0.9920741796156325
210,2,0,0.12716593227687764,1,0.60955287333013,0.8813428367590644,0.24898633834492606,0,0,0.0,0.0,0.0,11.0,0.46876649100003487,0.0,0.0,0.0,11.0,0.12716593227687764,1,2,0.8813428367590644
211,0,0,-0.9997157441529694,-1,0.24444233164322382,0.5200593928976429,-0.9639816871241671,0,0,0.0,0.0,0.0,11.0,0.26120266759755645,0.0,0.0,0.0,11.0,-0.9997157441529694,-1,0,0.5200593928976429
212,1,0,0.999932404096085,1,0.4681033054484916,0.8336762935217257,0.9640163869552923,1,1,0.0,0.0,0.0,10.5,0.37541653342893205,0.0,0.0,0.0,10.5,0.999932404096085,1,1,0.8336762935217257
213,3,0,0.9999230829866932,1,0.4454210792274379,0.7115908068498552,0.9640149241713517,0,0,0.0,0.0,0.0,9.5,0.4075978481471082,0.0,0.0,0.0,9.5,0.9999230829866932,1,3,0.7115908068498552
214,0,0,0.9999188624397453,1,0.2520268901859195,0.5251776632562477,0.9640141441984442,0,0,0.0,0.0,0.0,10.5,0.26169581071319586,0.0,0.0,0.0,10.5,0.9999188624397453,1,0,0.5251776632562477
215,0,0,-0.9997825762054667,-1,0.33342075673808647,0.7065597765702055,-0.9639925674053992,1,1,0.0,0.0,0.0,10.5,0.290961875935868,0.0,0.0,0.0,10.5,-0.9997825762054667,-1,0,0.7065597765702055
216,1,0,0.999902014258898,1,0.4645775790788221,0.8273684072355383,0.9640113536264298,1,1,0.0,0.0,0.0,10.5,0.37100335064009055,0.0,0.0,0.0,10.5,0.999902014258898,1,1,0.8273684072355383
217,2,0,0.09398867416158088,1,0.6457437859148494,1.0,0.18579411127140905,1,1,0.0,0.0,0.0,10.5,0.507584164554839,0.0,0.0,0.0,10.5,0.09398867416158088,1,2,1.0
218,1,0,-0.9998042234948974,-1,0.342237246190798,0.6073966044121919,-0.9639960548587246,0,0,0.0,0.0,0.0,10.5,0.32355784064543214,0.0,0.0,0.0,10.5,-0.9998042234948974,-1,1,0.6073966044121919
219,0,0,-0.9995503585152551,-1,0.697849946074947,1.0,-0.9639549592597357,1,1,0.0,0.0,0.0,11.0,0.4318463452848427,0.0,0.0,0.0,11.0,-0.9995503585152551,-1,0,1.0
220,2,0,0.062899179104958,1,0.5274789714436781,0.8006356946990828,0.12513893624120168,0,0,0.0,0.0,0.0,10.5,0.43372244780343555,0.0,0.0,0.0,10.5,0.062899179104958,1,2,0.8006356946990828
221,2,0,0.1150129676067074,1,0.6562530111107705,1.0,0.22605296234846672,1,1,0.0,0.0,0.0,10.5,0.48476175679506833,0.0,0.0,0.0,10.5,0.1150129676067074,1,2,1.0
222,0,0,0.04306173422657711,1,0.4835335900021143,0.8928549979932354,0.08591116516270372,1,1,0.0,0.0,0.0,10.0,0.38753320291689214,0.0,0.0,0.0,10.0,0.04306173422657711,1,0,0.8928549979932354
223,1,0,0.0645813560080292,1,0.49951653525333406,0.8570332030499551,0.12844919894785115,1,1,0.0,0.0,0.0,10.5,0.34028032843117956,0.0,0.0,0.0,10.5,0.0645813560080292,1,1,0.8570332030499551
224,2,0,0.9999275996349768,1,0.5718316336277842,0.8184913672704645,0.964015667460218,0,0,0.0,0.0,0.0,9.5,0.4461889155700287,0.0,0.0,0.0,9.5,0.9999275996349768,1,2,0.8184913672704645
225,3,0,0.9999358595746953,1,0.7567823648994947,1.0,0.9640169923186572,1,1,0.0,0.0,0.0,10.0,0.5365779348668462,0.0,0.0,0.0,10.0,0.9999358595746953,1,3,1.0
226,1,0,-1.0,-1,0.49508754884774603,0.9193692265315498,-0.9640275800758169,1,1,0.0,0.0,0.0,11.0,0.4510849364631186,0.0,0.0,0.0,11.0,-1.0,-1,1,0.9193692265315498
227,2,0,-0.9995830894747496,-1,0.5171945228649746,0.8415512043016623,-0.9639604137894966,0,0,0.0,0.0,0.0,10.5,0.4863054958356434,0.0,0.0,0.0,10.5,-0.9995830894747496,-1,2,0.8415512043016623
228,2,0,-0.9994584599518926,-1,0.5611981781165178,0.9914072014002131,-0.9639403114844339,1,1,0.0,0.0,0.0,10.5,0.5126848769047846,0.0,0.0,0.0,10.5,-0.9994584599518926,-1,2,0.9914072014002131
229,3,0,-0.9998346285551768,-1,0.6425090823786355,1.0,-0.9640008879342998,1,1,0.0,0.0,0.0,11.0,0.512118476057338,0.0,0.0,0.0,11.0,-0.9998346285551768,-1,3,1.0
230,3,0,0.09883235487546414,1,0.2431102012917406,0.4271488954768851,0.19512997505562477,0,0,0.0,0.0,0.0,5.0,0.32133271388204837,0.0,0.0,0.0,5.0,0.09883235487546414,1,3,0.4271488954768851
