seed,tolerance_threshold,final_mean_opinion,final_std_opinion,final_mean_abs_opinion,final_opinion_variance,final_extremist_ratio,final_moderate_ratio,final_homophily_ratio,final_cross_cutting_ratio,final_sign_modularity,final_edge_count
44,0.1,0.01470980553823133,0.6818789112725772,0.5593004546926439,0.4644938907886369,0.489,0.349,0.5370817523283891,0.46291824767161094,0.034291979685893564,2899
45,0.1,0.015533625002947757,0.6817662727240147,0.5630688080037775,0.4643404453733716,0.487,0.33,0.5292544299565363,0.47074557004346373,0.023043160246126737,2991
46,0.1,0.017045608303713627,0.6650252084102682,0.532445505658661,0.4418162692932996,0.478,0.376,0.5014965081476555,0.49850349185234455,-0.0013951466133037549,3007
47,0.1,0.021434105436258635,0.6478754161713279,0.5120247840430938,0.41932281232429214,0.447,0.393,0.5097799511002445,0.49022004889975546,0.009448358899148301,3272
48,0.1,0.008426772066978668,0.6607726970663259,0.5318125514997698,0.43618393663111815,0.464,0.377,0.5235619109522262,0.47643808904777385,0.022862740200929932,3077
49,0.1,0.010186320565972502,0.6625955640930696,0.5294339107242237,0.43859384867425727,0.468,0.383,0.5307150050352467,0.4692849949647533,0.027337430956823505,2979
50,0.1,0.006769448322546741,0.6720873725926525,0.545105086660304,0.45124973496209636,0.471,0.361,0.5303030303030303,0.4696969696969697,0.024445981457175137,3036
51,0.1,-0.007597018377546878,0.6400078797863058,0.5001278442869443,0.40920047610237387,0.433,0.416,0.5323206205559147,0.46767937944408533,0.03130420602013387,3094
52,0.1,0.01648912959620545,0.6798514873912727,0.5560196370127748,0.4617358468632177,0.492,0.351,0.5168690958164642,0.48313090418353577,0.010100259194742361,2964
53,0.1,-0.02196266798098329,0.6545687257131022,0.5208404434782833,0.42803175646499286,0.452,0.39,0.5148963730569949,0.48510362694300513,0.013483539544158624,3088
54,0.1,-0.00016573688570441903,0.6423168383587519,0.5082925099365634,0.41215834991834377,0.437,0.401,0.5126238414829019,0.48737615851709815,0.013194643988352989,3129
55,0.1,0.01054598123531491,0.6665834691941193,0.5425881245341116,0.4438891878814645,0.457,0.352,0.5196479094624332,0.4803520905375668,0.019567518620548896,3181
56,0.1,0.01393475532657503,0.6751647972285436,0.5548094876470091,0.4553916559132437,0.485,0.345,0.5246761258482419,0.47532387415175814,0.02102634752985949,3242
57,0.1,0.0003969560541377355,0.6544298417647555,0.5214178952867791,0.4278501393744507,0.457,0.387,0.5249429409846755,0.47505705901532447,0.024631239790491977,3067
58,0.1,0.01913262773551449,0.6617806360215782,0.5311790453114756,0.43751565660291153,0.46,0.375,0.5237934525818427,0.47620654741815727,0.02339597574603855,2963
59,0.1,0.027105061974936874,0.6561302077012475,0.5278275176207774,0.43007634260862415,0.45,0.371,0.5162504276428327,0.4837495723571673,0.01569701779554966,2923
60,0.1,-0.002678412200356096,0.6486774112254728,0.5158500946660364,0.42036160145034707,0.444,0.381,0.5084631008801624,0.49153689911983756,0.007727168832442066,2954
61,0.1,0.0016455560503448466,0.6338491875127885,0.4997585066167123,0.40136302771811155,0.414,0.397,0.5164596273291926,0.4835403726708074,0.013684479197498572,3220
42,0.3,-0.008019213621753786,0.5310387652959003,0.39661334788115005,0.2817201680767473,0.283,0.614,0.519185360094451,0.48081463990554896,0.015337105815701801,3388
