node,F_t,L,o_t,tau_t,tau_t1,s_t,Abar,A_t,O_t,C_t,M_pC_prev,M_pT_prev,M_nC_prev,M_nT_prev,pi_t,M_pC_t,M_pT_t,M_nC_t,M_nT_t,o_t1,s_t1,F_t1,A_t1
51,7,0,-1.0,10.0,10.0,-1,0.31807951270484563,0.7742083696981488,1,1,0.0,1.0,5.0,6.5,0.1658166065863211,0.0,1.0,5.0,6.5,-1.0,-1,7,0.7742083696981488
52,3,0,-1.0,10.0,10.0,-1,0.5207311696127142,0.8534694986621564,0,0,0.0,0.0,5.0,5.5,0.20120375113650593,0.0,0.0,5.0,5.5,-1.0,-1,3,0.8534694986621564
53,7,0,-1.0,10.0,10.0,-1,0.21308286666831197,0.600079367660583,0,0,0.0,2.0,4.5,6.5,0.14367376629308812,0.0,2.0,4.5,6.5,-1.0,-1,7,0.600079367660583
54,11,0,-1.0,10.0,10.0,-1,0.5022503402798582,0.8955605739888335,0,0,0.0,0.0,6.0,7.5,0.24327145574049777,0.0,0.0,6.0,7.5,-1.0,-1,11,0.8955605739888335
55,1,0,0.7187280579105287,10.0,10.0,1,0.5272018754753001,0.8234298137200272,0,0,0.0,0.0,1.5,6.5,0.17876692374460665,0.0,0.0,1.5,6.5,0.7187280579105287,1,1,0.8234298137200272
56,70,1,-1.0,10.0,10.0,-1,0.6412672014669989,1.0,1,0,0.0,0.0,7.0,6.5,0.4,0.0,0.0,7.0,6.5,-1.0,-1,70,1.0
57,2,0,-0.03488321576235824,10.0,10.0,1,0.5896908741241951,0.9387705263129291,0,0,0.0,1.0,4.0,8.5,0.17901357707045465,0.0,1.0,4.0,8.5,-0.03488321576235824,1,2,0.9387705263129291
58,7,0,-1.0,10.0,10.0,-1,0.415038040583481,0.7646329637581322,0,0,0.0,0.0,4.0,6.5,0.19625077789888629,0.0,0.0,4.0,6.5,-1.0,-1,7,0.7646329637581322
59,12,0,-0.9753506415648041,10.0,10.0,-1,0.2034385404278728,0.6088697631030711,0,0,0.0,1.0,8.5,3.0,0.16824274561136635,0.0,1.0,8.5,3.0,-0.9753506415648041,-1,12,0.6088697631030711
60,4,0,-1.0,10.0,10.0,-1,0.2692915241737694,0.6200766669055435,1,0,0.0,0.0,3.5,7.5,0.14376281049782963,0.0,0.0,3.5,7.5,-1.0,-1,4,0.6200766669055435
61,6,0,-1.0,10.0,10.0,-1,0.7838363921104714,1.0,1,1,0.0,0.0,9.0,4.5,0.2630570378634295,0.0,0.0,9.0,4.5,-1.0,-1,6,1.0
62,9,0,-1.0,10.0,10.0,-1,0.7533998949891836,0.9720399369935101,0,0,0.0,0.0,4.0,3.5,0.27401356318254483,0.0,0.0,4.0,3.5,-1.0,-1,9,0.9720399369935101
63,3,0,0.3916418670568291,9.964332230608395,9.964332230608395,1,0.3950558978486872,0.7632039573199609,1,1,1.0,1.0,4.5,1.0,0.15243108930757363,1.0,1.0,4.5,1.0,0.3916418670568291,1,3,0.7632039573199609
